label,name,party,year_inaugurated,features
president,George Washington,Independent,1789,founding military unity precedent constitution
president,John Adams,Federalist,1797,diplomacy judiciary independence constitution law
president,Thomas Jefferson,Democratic-Republican,1801,expansion liberty agriculture diplomacy
president,James Madison,Democratic-Republican,1809,war constitution federalist-papers diplomacy
president,James Monroe,Democratic-Republican,1817,era-good-feelings expansion doctrine diplomacy
president,Andrew Jackson,Democrat,1829,populism expansion executive-power banking
president,Abraham Lincoln,Republican,1861,union emancipation civil-war preservation
president,Ulysses S. Grant,Republican,1869,reconstruction military civil-rights enforcement
president,Theodore Roosevelt,Republican,1901,progressive trust-busting conservation expansion
president,Woodrow Wilson,Democrat,1913,progressive league-of-nations reform war
president,Franklin D. Roosevelt,Democrat,1933,new-deal social-security war-leadership recovery
president,Harry S. Truman,Democrat,1945,cold-war nato fair-deal desegregation
president,Dwight D. Eisenhower,Republican,1953,military infrastructure cold-war moderate
president,John F. Kennedy,Democrat,1961,cold-war space civil-rights youth
president,Lyndon B. Johnson,Democrat,1963,civil-rights medicare great-society war
president,Richard Nixon,Republican,1969,diplomacy china detente environment
president,Gerald Ford,Republican,1974,healing moderate pardon economy
president,Jimmy Carter,Democrat,1977,human-rights energy diplomacy moderate
president,Ronald Reagan,Republican,1981,conservative tax-cuts military cold-war
president,George H. W. Bush,Republican,1989,diplomacy gulf-war moderate prudence
president,Bill Clinton,Democrat,1993,economy trade technology centrist
president,George W. Bush,Republican,2001,war-on-terror tax-cuts compassionate-conservative
president,Barack Obama,Democrat,2009,healthcare reform diplomacy coalition
president,Donald Trump,Republican,2017,populism deregulation trade immigration
president,Joe Biden,Democrat,2021,infrastructure coalition climate moderate
