label,name,state,year_elected,features
democrat,Joe Biden,Delaware,2020,centrist moderate coalition builder infrastructure climate
democrat,Barack Obama,Illinois,2008,progressive healthcare reform diplomacy coalition youth
democrat,Bill Clinton,Arkansas,1992,centrist third-way economy trade welfare-reform technology
democrat,Jimmy Carter,Georgia,1976,progressive human-rights energy diplomacy moderate south
democrat,Lyndon B. Johnson,Texas,1964,progressive civil-rights medicare medicaid great-society
democrat,John F. Kennedy,Massachusetts,1960,liberal cold-war space civil-rights youth
democrat,Harry S. Truman,Missouri,1948,moderate fair-deal nato marshall-plan desegregation
democrat,Franklin D. Roosevelt,New York,1932,progressive new-deal social-security labor recovery
democrat,Kamala Harris,California,2024,progressive justice reform climate coalition diversity
democrat,Nancy Pelosi,California,1987,progressive speaker legislative healthcare coalition
democrat,Chuck Schumer,New York,1998,moderate senate-leader coalition infrastructure
democrat,Alexandria Ocasio-Cortez,New York,2018,progressive green-new-deal youth social-media justice
democrat,Bernie Sanders,Vermont,1990,progressive democratic-socialist healthcare labor education
democrat,Elizabeth Warren,Massachusetts,2012,progressive consumer-protection finance regulation
democrat,Pete Buttigieg,Indiana,2020,moderate transportation infrastructure youth
democrat,Gavin Newsom,California,2018,progressive climate environment healthcare technology
democrat,Gretchen Whitmer,Michigan,2018,moderate infrastructure education healthcare midwest
democrat,Raphael Warnock,Georgia,2021,progressive civil-rights faith coalition south
democrat,Jon Ossoff,Georgia,2021,moderate youth technology coalition south
democrat,Hakeem Jeffries,New York,2022,moderate house-leader coalition urban
