case_name,citation,year,court,category,significance
Marbury v. Madison,5 U.S. 137,1803,SCOTUS,judicial_review,Established judicial review — courts can strike down unconstitutional laws
McCulloch v. Maryland,17 U.S. 316,1819,SCOTUS,federalism,Federal supremacy; implied powers under Necessary and Proper Clause
Gibbons v. Ogden,22 U.S. 1,1824,SCOTUS,commerce,Broad interpretation of Commerce Clause
Dred Scott v. Sandford,60 U.S. 393,1857,SCOTUS,civil_rights,Denied citizenship to African Americans (overruled by 14th Amendment)
Plessy v. Ferguson,163 U.S. 537,1896,SCOTUS,civil_rights,Separate but equal doctrine (overruled by Brown)
Lochner v. New York,198 U.S. 45,1905,SCOTUS,due_process,Liberty of contract (substantive due process era)
Schenck v. United States,249 U.S. 47,1919,SCOTUS,first_amendment,Clear and present danger test for speech
Brown v. Board of Education,347 U.S. 483,1954,SCOTUS,civil_rights,Ended school segregation; overruled Plessy
Mapp v. Ohio,367 U.S. 643,1961,SCOTUS,criminal_procedure,Exclusionary rule applies to states
Gideon v. Wainwright,372 U.S. 335,1963,SCOTUS,criminal_procedure,Right to counsel for felony defendants
Miranda v. Arizona,384 U.S. 436,1966,SCOTUS,criminal_procedure,Miranda warnings required before custodial interrogation
Loving v. Virginia,388 U.S. 1,1967,SCOTUS,civil_rights,Struck down interracial marriage bans
Roe v. Wade,410 U.S. 113,1973,SCOTUS,privacy,Right to abortion (overruled by Dobbs 2022)
United States v. Nixon,418 U.S. 683,1974,SCOTUS,executive_power,No absolute executive privilege
Regents of UC v. Bakke,438 U.S. 265,1978,SCOTUS,equal_protection,Race as one factor in admissions permissible
Chevron v. NRDC,467 U.S. 837,1984,SCOTUS,admin_law,Deference to agency statutory interpretation (overruled 2024 Loper Bright)
Texas v. Johnson,491 U.S. 397,1989,SCOTUS,first_amendment,Flag burning is protected speech
Planned Parenthood v. Casey,505 U.S. 833,1992,SCOTUS,privacy,Undue burden standard for abortion (overruled by Dobbs)
Bush v. Gore,531 U.S. 98,2000,SCOTUS,equal_protection,Halted Florida recount in 2000 presidential election
District of Columbia v. Heller,554 U.S. 570,2008,SCOTUS,second_amendment,Individual right to bear arms
Citizens United v. FEC,558 U.S. 310,2010,SCOTUS,first_amendment,Corporate political speech protected; struck campaign finance limits
Obergefell v. Hodges,576 U.S. 644,2015,SCOTUS,equal_protection,Right to same-sex marriage nationwide
Dobbs v. Jackson Women's Health,597 U.S. 215,2022,SCOTUS,privacy,Overruled Roe v. Wade; no constitutional right to abortion
Loper Bright v. Raimondo,144 S.Ct. 2244,2024,SCOTUS,admin_law,Overruled Chevron deference; courts interpret statutes independently
