What is the Fair Labor Standards Act?	The FLSA establishes minimum wage, overtime pay, recordkeeping, and youth employment standards for workers in the US. Federal minimum wage is $7.25/hr. Overtime required at 1.5x for hours over 40/week.	us_dol
What is FMLA?	The Family and Medical Leave Act entitles eligible employees to 12 weeks of unpaid, job-protected leave per year for family and medical reasons, with continuation of group health insurance.	us_dol
What is OSHA?	The Occupational Safety and Health Act ensures safe working conditions by setting and enforcing standards. Employers must provide a workplace free from recognized hazards likely to cause death or serious harm.	us_dol
What is at-will employment?	At-will employment means either the employer or employee can terminate the relationship at any time, for any reason not prohibited by law, with or without notice.	us_dol
What is the minimum wage in the US?	The federal minimum wage is $7.25 per hour. States may set higher minimums. Tipped employees may be paid $2.13/hr if tips bring total to minimum wage.	us_dol
What is overtime pay?	Under FLSA, covered employees must receive overtime pay of at least 1.5 times their regular rate for hours worked over 40 in a workweek.	us_dol
What is Title VII?	Title VII of the Civil Rights Act of 1964 prohibits employment discrimination based on race, color, religion, sex, or national origin. Applies to employers with 15+ employees.	us_eeoc
What is the ADA?	The Americans with Disabilities Act prohibits discrimination against individuals with disabilities in employment, public accommodations, transportation, and telecommunications.	us_doj
What is the WARN Act?	The Worker Adjustment and Retraining Notification Act requires employers with 100+ employees to provide 60 days advance notice of plant closings and mass layoffs.	us_dol
What is the Equal Pay Act?	The Equal Pay Act requires that men and women be given equal pay for equal work in the same establishment. Pay differentials are permitted based on seniority, merit, or quantity/quality of production.	us_eeoc
What is workers compensation?	Workers compensation provides medical benefits and wage replacement to employees injured on the job, in exchange for relinquishing the right to sue the employer for negligence.	us_dol
What is unemployment insurance?	UI provides temporary financial assistance to workers unemployed through no fault of their own who meet state eligibility requirements. Funded by employer taxes.	us_dol
