question,answer
Who was the first US president?,George Washington was the first US president inaugurated in 1789 serving two terms and establishing key precedents for the office.
How many US presidents have there been?,There have been 46 US presidents from George Washington in 1789 through Joe Biden inaugurated in 2021.
Which party has had the most presidents?,The Republican Party has had the most presidents followed by the Democratic Party with several early presidents affiliated with Democratic-Republican or Federalist parties.
Who was the youngest US president?,John F. Kennedy was the youngest elected president at age 43. Theodore Roosevelt became the youngest president at 42 upon McKinley's assassination.
Which presidents served during wartime?,Major wartime presidents include Lincoln during the Civil War FDR during World War II Truman during Korea LBJ and Nixon during Vietnam and George W. Bush during the War on Terror.
What powers does the US president have?,The president serves as commander-in-chief signs or vetoes legislation issues executive orders nominates federal judges and Supreme Court justices and conducts foreign policy.
Who was president during the Great Depression?,Franklin D. Roosevelt served as president during the Great Depression implementing the New Deal programs for economic recovery and social safety nets.
What is the presidential line of succession?,The line of succession goes Vice President then Speaker of the House then President Pro Tempore of the Senate then Secretary of State continuing through Cabinet members.
Which presidents were impeached?,Andrew Johnson Bill Clinton and Donald Trump were impeached by the House of Representatives. None were removed by the Senate. Nixon resigned before impeachment.
How long can a president serve?,Under the 22nd Amendment a president can serve a maximum of two four-year terms or up to ten years if completing a predecessor's term.
