What is the meaning of democracy?	Democracy is a system of governance in which power is vested in the people, who exercise that power directly or through elected representatives. It rests on principles of political equality, majority rule tempered by minority rights, free expression, and accountable government. The word derives from Greek: demos (people) + kratos (rule).	vocabulary-core
How does encryption work?	Encryption transforms readable data (plaintext) into an unreadable form (ciphertext) using a mathematical algorithm and a key. Only parties possessing the correct decryption key can reverse the process. Modern encryption relies on computational difficulty — problems like integer factorization (RSA) or discrete logarithms (Diffie-Hellman) that are easy to compute forward but infeasible to reverse without the key.	vocabulary-core
What causes inflation?	Inflation occurs when the general price level rises across an economy over time. Primary causes include demand-pull (more money chasing fewer goods), cost-push (rising production costs passed to consumers), and monetary expansion (central banks increasing money supply faster than economic output grows). Moderate inflation is normal; hyperinflation destroys purchasing power.	vocabulary-core
Why is education important?	Education develops critical thinking, specialized knowledge, and civic capability. It enables individuals to participate meaningfully in economic life, make informed decisions, contribute to scientific and cultural advancement, and exercise democratic citizenship. Beyond economic returns, education cultivates curiosity, empathy, and the capacity to engage constructively with complexity.	vocabulary-core
What is artificial intelligence?	Artificial intelligence encompasses computational systems that perform tasks normally requiring human cognition — pattern recognition, language understanding, reasoning, planning, and learning from experience. Modern AI primarily uses machine learning: statistical models trained on large datasets to identify patterns and make predictions. It ranges from narrow AI (task-specific) to the theoretical goal of general AI (human-level reasoning across domains).	vocabulary-core
How does the internet work?	The internet is a global network of interconnected computer networks using standardized protocols (TCP/IP) to exchange data. Information travels as packets through routers, following the best available path. Domain Name System (DNS) translates human-readable addresses to IP numbers. Higher-level protocols (HTTP, SMTP, FTP) provide structure for specific services like web browsing and email.	vocabulary-core
What is climate change?	Climate change refers to long-term shifts in global temperatures and weather patterns. While natural factors (volcanic activity, solar cycles) cause some variation, the current acceleration is driven by human activity — primarily burning fossil fuels, which releases greenhouse gases (CO₂, methane) that trap heat in the atmosphere. Consequences include rising sea levels, extreme weather, ecosystem disruption, and agricultural instability.	vocabulary-core
How do vaccines work?	Vaccines train the immune system to recognize and fight specific pathogens without causing the disease. They introduce a harmless component of the pathogen (weakened virus, protein fragment, or mRNA instructions) that triggers an immune response. The body creates antibodies and memory cells, enabling rapid defense upon future exposure to the actual pathogen.	vocabulary-core
What is quantum computing?	Quantum computing exploits quantum mechanical phenomena — superposition (qubits existing in multiple states simultaneously) and entanglement (correlated qubits affecting each other regardless of distance) — to perform certain calculations exponentially faster than classical computers. Particularly suited for optimization, cryptography, molecular simulation, and problems with vast solution spaces.	vocabulary-core
How do financial markets function?	Financial markets provide mechanisms for buying and selling financial instruments (stocks, bonds, derivatives, currencies). They facilitate capital allocation — connecting entities with surplus capital (investors) to those needing it (companies, governments). Prices emerge from supply and demand, reflecting collective assessment of value, risk, and future expectations. Market infrastructure includes exchanges, clearinghouses, and regulatory frameworks.	vocabulary-core
