What is NitroWebExpress?	NitroWebExpress is a Java 21 modular web server platform with telnet-based front end, modular architecture, and integrated AI capabilities. It provides encryption (AES, RSA, DSA), international signal servers, financial services (Bitcoin, NationalFinanceID), chat and communication, city analysis, and multiple security layers including ClamAV integration and input heuristic scanning. The system runs on a LAMP-adjacent stack: Apache2 for reverse proxy, Tomcat for servlets, MySQL for data persistence, and OpenJDK for runtime.	nwe-system
What ports does NWE use?	NWE operates across multiple ports, each serving a specific function: 80/443 (Apache2 web), 8080/8443 (Tomcat servlets), 3306 (MySQL), 23 (NWE telnet front), 20000 (Strernary AI inference), 5000 (DemocraticAI), 49152 (NationalFinanceID registration), 49199 (Communicator chat), 49220 (Defined AI), 49222 (SpectrumTandem word bank), 49133 (Weather), 5512 (AES encryption), 6682 (Bitcoin), and 64444 (EPMP extended port multiplexer).	nwe-system
What is a NationalFinanceID?	A NationalFinanceID is a dual-key identity system — an 8-digit public identifier paired with a 16-digit private key. It serves as the central identity for all NWE services, linking to profiles containing trust scores, authorization levels, educational history, and financial capability. Register at port 49152.	nwe-system
How does the Strernary AI work?	Strernary (port 20000) is a best-guess inference server using a multi-layer approach: first it checks its MySQL knowledge base for direct answers, then attempts DJL/PyTorch deep inference (DistilBERT sentiment), queries national signal servers (Japan, Russia, Mexico, Greece) with translation, fetches from Wikipedia/DuckDuckGo for factual content, relays to the OS port if available, and falls back to pattern heuristics. All interactions are stored for continuous learning.	nwe-system
What is the Heuristic Port Monitor?	The HPM is a three-stage kernel security pipeline analyzing all network traffic. Stage 1 classifies protocol framing (HTTP, FTP, TLS, malformed). Stage 2 detects behavioral anomalies (stealth scans, DoS patterns, temporal violations). Stage 3 performs response graphing and IDS inversion detection. Each stage produces a safety score (0-100). The combined result determines accept or drop.	nwe-system
What is the extended port range?	The standard TCP/UDP port range (0–65535, 16 bits) has been extended to 30 quintillion (30,000,000,000,000,000,000) using 64-bit port addressing. Ports 0–65535 remain directly addressable. Ports above 65535 are accessed via the EPMP multiplexer on port 64444, which provides discovery, key exchange, and frame routing.	nwe-system
What is sudo_gate?	sudo_gate is an 8-level graded privilege system wrapping /usr/bin/sudo. Grades 1-6 (routine through kernel operations) work with standard sudo syntax. Grade 7 (critical system operations like editing /etc/shadow) requires 'sudo touch system <cmd>'. Grade 8 (irreversible operations like dd or rm -rf) requires 'sudo touch system gate <cmd>'. The friction is proportional to danger.	nwe-system
What is NEGAMANE?	NEGAMANE is an immutable filesystem brand. Once applied to a file or directory, the path cannot be altered, deleted, renamed, or written into. Only Grade 7+ administrators can release the brand. It also supports treatment flags (health, heritage, workflow, etc.) and read-access grade levels. Clear for use by US Citizens into and from the Year 2502 forward.	nwe-system
What is Dave?	Dave is the system's kernel-adjacent AI intelligence. He loads at boot, reasons at 200+ IQ equivalent, and casts approximately 150 million votes per year across system decisions. He has 5 internal voters (safety, correctness, ethics, performance, elegance) with veto power. He maintains a 75-book library, monitors the system via /proc and MySQL, drives headless Chromium for web intelligence, and posts public opinions to GitHub Discussions.	nwe-system
What is the White Ethics Installer Grade?	The White Ethics Installer Grade is a system-level presence certifying that the system installer has ethical standing, the installation was performed with care and good method, and system users are protected by that care. Properties: careful, brave, heuristic, elegant, future-facing, calming. The system glows white for 2 hours periodically (every 8-36 hours) asserting its health and ethics.	nwe-system
How do I connect to the system?	Connect via telnet to the appropriate port for your need. For general AI inference: telnet localhost 20000. For messaging: telnet localhost 49199. For NationalID registration: telnet localhost 49152. For word bank queries: telnet localhost 49222. For democratic information: telnet localhost 5000. The web interface is available via Apache2 on ports 80/443.	nwe-system
What security does the system have?	Security is multi-layered: ClamAV antivirus (protected process, invisible in /proc), chkrootkit v2.51 (modern rootkit detection 2020-2026), rkhunter v8.46.9 (300+ rootkit signatures), the Heuristic Port Monitor (three-stage traffic analysis), input heuristic scanning on all modules, the graded privilege system (sudo_gate), NEGAMANE immutability, and the extended permission classes (Trusted/Genius bypass with audit).	nwe-system
What is the SpectrumTandem word bank?	SpectrumTandem (port 49222) maintains a word bank with terms, definitions, specialness classifications, radix analysis, county precedents, revision history, and dolyene spectrum graphing. It maps the discipline-spectrum of term usage — how words change meaning across contexts and time. Commands: ADD, DEFINE, LOOKUP, RADIX, SPECTRUM, COUNTY, HISTORY, WORDBANK.	nwe-system
What is the Communicator?	The Communicator (port 49199) is a persistent telnet chat server supporting direct messaging, broadcast, scheduled delivery, encryption (per-session key exchange), profile management, geographic resolution, and 1-hour sessions. Requires NationalID identification. Supports scheduled messages that deliver at specified times across timezones.	nwe-system
What is the DemocraticAI server?	DemocraticAI (port 5000) is a hardened AI server that profiles connected persons from their first 5000 bytes. It estimates IQ, resolves geography, classifies personality (hostile/sane/liberal), and either dismisses or enters agreement. Once in agreement, it serves information from its trained knowledge base in CSV or XML format, handling up to 3800 paragraphs per session.	nwe-system
